theme,content,description,howTo,time
정,할머니께 전화드리기,어릴 적 할머니 손에 키워지신 분들 많으시죠? 지금 할머니가 손주 보고 싶으시대요.,- 할머니와 통화하기 <br>- 통화 기록을 캡쳐해서 업로드하기,4
정,버스 탈 때기사님께 인사하기,"정신없이 바쁘더라도, 무표정한 자신의 모습에 익숙해지지 마세요.",- 버스 탈때 기사님께 인삿말 건네기 <br>- 자신이 건낸 인삿말을 종이에 적어 사진찍고 업로드하기,6
정,오랜만에 친구한테 전화하기,매번 연락주는데 나도 한번 연락 줄 때 되지 않았나요?,- 그동안 자주 연락하지 않았던 친구에게 전화하기 <br>- 통화 기록을 캡쳐해서 업로드하기,4
정,사랑해 하기,잊지 말자구요. 표현하지 않으면 아무도 몰라준다는 것을.,- 종이에 '사랑해' 라고 적어서 꾸민 뒤 전달하기 <br>- '사랑해'종이를 찍어 업로드하기,4
정,요리해주기,사실 음식보다는 그 사람과 함께하는 시간이 더 맛있더라고요.,- 원하는 사람을 위해 요리를 만들어 주기 <br>- 완성된 요리 인증샷 업로드하기,6
정,부모님께 꽃 사드리기,생각해 보면 부모님께 감사 인사를 드린지가 꽤 된 것 같아요.,- 마음에 드는 꽃다발을 고르기 <br>- 꽃다발 사진을 찍어서 업로드하기,6
정,편지쓰기,글 잘 쓸 필요 없어요. 이거 쓰느라 고민하는 당신의 모습으로 충분해요.,- 마음을 담아 편지 쓰기 <br>- 편지를 사진으로 찍어 업로드하기,6
정,은사님께 연락하기,학창 시절 나를 이끌어준 선생님께 지금의 모습을 전해드려요!,- 학창 시절 가장 기억에 남는 은사님께 연락하기 <br>- 통화 기록을 캡쳐해서 업로드하기,4
모험,한번도 안 가본 길로 집가기,매번 가는 길은 언제든 갈 수 있지만 이 길은 지금 아니면 못가요.,- 한번도 안 가본 길을 걷기 <br>- 도로 사진을 찍어서 업로드하기,4
모험,비 맞고 걷기,우산 있겠지만 그냥 맞아봐요. 우리 어렸을 때는 다들 그러고 놀았잖아요?,- 비 맞고 거리를 걸어보기 <br>- 비에 젖은 도로 사진 찍어서 업로드하기,4
모험,핸드폰 전원 끄기,우리가 핸드폰의 주인이지 핸드폰이 우리의 주인이 아니잖아요?,- 휴대폰 전원을 끄기 <br>- 카운트 업 타이머로 5시간 채우기 <br>-타이머를 찍어 인증샷 업로드하기,6
모험,다른 스타일 옷 입어보기,저는 반전미 있는 사람이 끌리더라고요.,- 새로운 스타일 옷 입기 <br>- 거울 앞에서 사진 찍은 뒤 인증샷 업로드하기,4
모험,번개팅 하기,인생이 계획대로만 되면 무슨 재미인가요?,- 번개팅 구성원 모으기 <br>- 술자리 인증샷 업로드하기,6
모험,비싼 음식 시켜 먹기,갈땐 가더라도 팔보채 하나 정도는 괜찬찮아?,- 큰마음을 먹고 비싼 음식 구매하기 <br>- 음식 사진을 찍어 업로드하기,6
모험,즉흥 여행가기,지금. 그냥. 생각하지 말고. 버스. 타러. 가라.,- 근처 안가본 곳에 무작정 떠나기 <br>- 셀카를 찍고 업로드하기,6
모험,무리해서 레스토랑 가기,미슐랭이 별거냐? 내 잔고가 별거지.,- 레스토랑에 찾아가 식사하기 <br>- 영수증 찍기,4
모험,사치 부리기,"사용하진 않을 거지만, 우리에겐 반품이라는 옵션이 있습니다.",- 평소에 사지 않을 것 같았던 물건 사기 <br>- 물건 사진 찍어서 업로드하기,4
모험,방 인테리어 바꾸기,그냥 괜히 한번 바꿔보는 거죠.,- 방의 인테리어를 변경해 보기 <br>- 바뀐 모습을 사진으로 남기고 업로드하기,4
모험,혼자 영화보기,거기서 혼자 온 다른 분 만나면 되잖아요?,- 혼자 영화표를 구매한 뒤 영화 보기 <br>- 영화표를 사진으로 찍어 업로드하기,6
모험,혼자 삼겹살 먹으러 가기,어차피 2인분 먹을거잖아요?,- 혼자 가서 삼겹살 구워먹기 <br>- 상 사진을 찍어 업로드하기,4
